Movie Ranking,Movie Name,Release Year,Director Name,Ratings
1,Nayakan,1987,Mani Ratnam ,8.5
2,Anbe Sivam,2003,Sundar C. ,8.5
3,Pariyerum Perumal,2018,Mari Selvaraj ,8.5
4,Thevar Magan,1992,Bharathan ,8.4
5,Ratsasan,2018,Ram Kumar ,8.4
6,96,2018,C. Prem Kumar ,8.4
7,Visaaranai,2015,Vetrimaaran ,8.4
8,Thalapathi,1991,Mani Ratnam ,8.3
9,Asuran,2019,Vetrimaaran ,8.3
10,Kannathil Muthamittal,2002,Mani Ratnam ,8.3
11,Kaithi,2019,Lokesh Kanagaraj ,8.3
12,Iruvar,1997,Mani Ratnam ,8.3
13,Aaranya Kaandam,2010,Thiagarajan Kumararaja ,8.3
14,Vada Chennai,2018,Vetrimaaran ,8.3
15,Peranbu,2018,Ram ,8.3
16,Thani Oruvan,2015,Mohan Raja ,8.3
17,Soorarai Pottru,2020,Sudha Kongara ,8.2
18,Vikram Vedha,2017,Gayatri ,8.2
19,Aruvi,2016,Arun Prabhu Purushothaman ,8.2
20,Mahanadhi,1994,Santhana Bharathi ,8.2
21,Kuruthipunal,1995,P.C. Sreeram ,8.2
22,Moondram Pirai,1982,Balu Mahendra ,8.2
23,Thillu Mullu,1981,K. Balachander ,8.2
24,Super Deluxe,2019,Thiagarajan Kumararaja ,8.2
25,Michael Madana Kama Rajan,1990,Singeetam Srinivasa Rao ,8.2
26,Kaakkaa Muttai,2014,M. Manikandan ,8.2
27,Pudhu Pettai,2006,K. Selvaraghavan ,8.2
28,Mudhalvan,1999,S. Shankar ,8.2
29,Papanasam,2015,Jeethu Joseph ,8.2
30,Dhuruvangal Pathinaaru,2016,Karthick Naren ,8.2
31,Soodhu Kavvum,2013,Nalan Kumarasamy ,8.2
32,Mouna Ragam,1986,Mani Ratnam ,8.2
33,Anniyan,2005,S. Shankar ,8.2
34,Jigarthanda,2014,Karthik Subbaraj ,8.2
35,Pithamagan,2003,Bala ,8.2
36,Alai Payuthey,2000,Mani Ratnam ,8.1
37,Roja,1992,Mani Ratnam ,8.1
38,Oththa Seruppu Size 7,2019,Parthiban ,8.1
39,Theeran adhigaaram ondru,2017,H. Vinoth ,8.1
40,Baasha,1995,Suresh Krishna ,8.1
41,Virumandi,2004,Kamal Haasan ,8.1
42,Apoorva Sagodharargal,1989,Singeetam Srinivasa Rao ,8.1
43,Bombay,1995,Mani Ratnam ,8.1
44,Kattradhu Thamizh,2007,Ram ,8.0
45,Naduvula Konjam Pakkatha Kaanom,2012,Balaji Tharaneetharan ,8.0
46,Indian,1996,S. Shankar ,8.0
47,Joker,2016,Raju Murugan ,8.0
48,Thadam,2019,Magizh Thirumeni ,8.0
49,Padayappa,1999,K.S. Ravikumar ,8.0
50,Anjali,1990,Mani Ratnam ,8.0
